Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200604,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,4357,,945,,,,,,,,,,243,,,,,,,,,,,,,
20200604,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,,117,,34,,,,,,,,,,,,,
20200604,KY,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,384",,283,,639,,2,,,,,,133,,,,,,,,,,,,,
20200604,LA,,Aggregate,4739,,1152,,2010,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,610,,91,,,,,,,,,,111
20200604,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20607,,4123,349,,,,,,,,,,,,,
20200604,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6697,,1368,,2921,,18,,,,,,227
20200604,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,4,,23,,,,,,,,,,,,,,,,,,,,,
20200604,MI,,Aggregate,6452,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3022,,896,,,,,,,,,,292,,,,,,,,,,,,,
20200604,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,,360,,,,,,,,,,194,,,,,,,,,,,,,
20200604,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,MS,,Aggregate,,,,,,,,,,,,,95,,,,,,,,,,,,,6,1993,,406,,,,,,,,,,127,,,,,,,,,,,,,1
20200604,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,NC,,Aggregate,2347,,490,,1018,,3,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,493,,57,,193,,0,,,,,,35
20200604,ND,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,
20200604,NE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,90,,356,,,,,,,,107,,,,,,,,,,,,,
20200604,NH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2239,,251,,,,,,,,,,,,,,,
20200604,NJ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,22737,,6061,,11220,,108,,,,,,547,,,,,,,,,,,,,
20200604,NM,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,129,,316,,3,,,,,,,,,,,,,,,,,,,
20200604,NV,,Aggregate,575,,86,,399,,2,,,,,,39,94,,23,,44,,1,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,NY,,Aggregate,,,,,,,,,,,3350,2718,388,,,,,,,,,,,117,52,58,,,,,,,,,,,,,,,,,,,,,,,,,,
20200604,OH,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,911",,"1,073",,2695,,,,,,,,,,,,,,,,,,,,,
